rank,presenter,title,score
1,Ralph Crosby,Quartet Distance Computation for sets of Heterogeneous Trees,3.8
2,Harshvardhan,Processing Big Data Graphs on Memory-Restricted Systems,3.0
3,Haokai,#prochoice or #prolife? Discovering Topic-Sensitive Opinion Bias in Social Media,0.0
4,Cindy Yeh,UOBPRM: A Uniformly Distributed Obstacle-Based PRM,0.0
5,Troy McMahon,Sampling Based Motion Planning with Reachable Volumes: Application to Manipulators and Closed Chains,0.0
6,Brittany Duncan,Timing Integrity Check of GPS Signal ‰ЫТ Models and Computing Algorithms,0.0
